pk_productkey;product_category;product_subcategory;product_categoryname;product_subcategoryname;standard_cost;colour;list_price;size;dealer_price;model_name;details;product_start_date;product_end_date;supplier;supplier_name;transportation_fees
210;CP;CP11;Components;Road Frames;647,0394;Black;1039,39;58;750,094;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/06/2013;;SP6;Alicia Bike Keys;1
211;CP;CP11;Components;Road Frames;713,0923;Red;1183,04;58;812,972;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/06/2013;;SP3;Life on Wheels;1
212;ACC;ACC6;Accessories;Helmets;12,0278;Red;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP5;Be A Bike;1
213;ACC;ACC6;Accessories;Helmets;13,8782;Red;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP6;Alicia Bike Keys;1
214;ACC;ACC6;Accessories;Helmets;13,0863;Red;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP3;Life on Wheels;1
215;ACC;ACC6;Accessories;Helmets;12,0278;Black;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP2;Trackish Life;0
216;ACC;ACC6;Accessories;Helmets;13,8782;Black;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP8;Mike Bikes;0
217;ACC;ACC6;Accessories;Helmets;13,0863;Black;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP2;Trackish Life;0
218;CH;CH6;Clothing;Socks;3,3963;White;9,5;;5,7;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning;01/07/2016;30/06/2017;SP8;Mike Bikes;0
219;CH;CH6;Clothing;Socks;3,3963;White;9,5;;5,7;Mountain Bike Socks;Combination of natural and synthetic fibers stays dry and provides just the right cushioning;01/07/2016;30/06/2017;SP2;Trackish Life;0
220;ACC;ACC6;Accessories;Helmets;12,0278;Blue;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2016;30/06/2017;SP4;Next Bike;0
221;ACC;ACC6;Accessories;Helmets;13,8782;Blue;33,6442;;20,1865;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
222;ACC;ACC6;Accessories;Helmets;13,0863;Blue;34,99;;20,994;Sport-100;Universal fit well-vented lightweight  snap-on visor;01/07/2018;;SP8;Mike Bikes;0
223;CH;CH2;Clothing;Caps;5,7052;Multi;8,6442;;5,1865;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2016;30/06/2017;SP8;Mike Bikes;0
224;CH;CH2;Clothing;Caps;5,2297;Multi;8,6442;;5,1865;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2017;30/06/2018;SP3;Life on Wheels;1
225;CH;CH2;Clothing;Caps;6,9223;Multi;8,99;;5,394;Cycling Cap;Traditional style with a flip-up brim one-size fits all;01/07/2018;;SP3;Life on Wheels;1
226;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP5;Be A Bike;1
227;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP5;Be A Bike;1
228;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP7;Biker Boys Inc;0
229;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP8;Mike Bikes;0
230;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP6;Alicia Bike Keys;1
231;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP4;Next Bike;0
232;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP3;Life on Wheels;1
233;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP4;Next Bike;0
234;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP4;Next Bike;0
235;CH;CH4;Clothing;Jerseys;31,7244;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2016;30/06/2017;SP5;Be A Bike;1
236;CH;CH4;Clothing;Jerseys;29,0807;Multi;48,0673;;28,8404;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
237;CH;CH4;Clothing;Jerseys;38,4923;Multi;49,99;;29,994;Long-Sleeve Logo Jersey;Unisex long-sleeve AWC logo microfiber cycling jersey;01/07/2018;;SP6;Alicia Bike Keys;1
238;CP;CP11;Components;Road Frames;747,9682;Red;1263,4598;62;758,0759;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2016;30/06/2017;SP5;Be A Bike;1
239;CP;CP11;Components;Road Frames;722,2568;Red;1301,3636;62;780,8182;HL Road Frame;Our lightest and best quality aluminum frame made from the newest alloy it is welded and heat-treated for strength Our innovative design results in maximum comfort and performance;01/07/2017;30/06/2018;SP7;Biker Boys Inc;0
